street_address,sale_price,mls_number,County,City,Subdivision,home_type,Floor_Plan,Bedrooms,Full_Baths,Half_Baths,Yr_Blt,Above_Grade_Finished_SF,Above_Grade_Finished_Source,Below_Grade_Finished_SF,Below_Grade_Finished_Source,Lot_Size,District,Fr_Pl,Fireplace,Bsmnt?,Bsmnt,Garage/Parking?,Construct,Arc_Style,Roof_desc,Lot_Desc,Floodpl,City_Limits,Cent air,Heating,Cooling,Water,Sewer,Warranty
"804 Derby Street Raymore, MO 64083",195000,2218921,Cass,Raymore,Canter Ridge,Single Family,Split Entry,3,2,1,2003,1302,Public Record,598,Public Record,0.2089072543618,Raymore-Peculiar,1,"Gas, Great Room",1,"Daylight, Finished",1,"Brick Trim, Vinyl Siding",Traditional,Composition,City Lot,0,0,1,Natural Gas,Central Electric,City/Public,City/Public,
"131 N Highland Drive Raymore, MO 64083",195000,2207323,Cass,Raymore,Lakeshore Meadows,Single Family,Split Entry,3,2,1,1995,1372,RPR,1372,RPR,0.203741965105601,Raymore-Peculiar,1,,1,"Finished, Partial",1,Frame,,Composition,City Limits,0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"505 Concord Street Belton, MO 64012",195000,2196451,Cass,Belton,Concord Hill Farm,Single Family,Split Entry,3,2,1,1968,1980,Public Record,0,Public Record,0.199265381083563,Belton,1,"Family Room, Hearth Room",1,"Concrete, Not Finished",1,"Frame, Wood Siding",Traditional,Composition,,0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"25520 S State Route K Harrisonville, MO 64701",195000,2191704,Cass,Harrisonville,Other,Single Family,Earth Contact,2,1,1,1993,1134,Public Record,0,Public Record,10,Harrisonville,0,,0,,1,"Concrete, Frame",,Composition,"Acreage, Pond(s)",1,0,1,Central Gas,Central Electric,Rural,Septic,
"203 N Murphy Drive Raymore, MO 64083",195000,2199748,Cass,Raymore,Keenland Est,Single Family,Ranch,3,3,0,1976,1418,Public Record,980,Agent,0.451584022038568,Raymore-Peculiar,1,"Basement, Living Room, Wood Burning",1,"Concrete, Finished, Full",1,Brick & Frame,Traditional,Composition,"City Lot, Treed",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"412 Timbercreek Drive Belton, MO 64012",195000,2196615,Cass,Belton,Timbercreek,Single Family,Split Entry,3,2,1,2006,1271,Public Record,525,Public Record,0.27157943067034,Belton,1,"Gas, Living Room",1,Walk Out,1,Lap,Traditional,Composition,"City Lot, Level",0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"521 Timbercreek Drive Belton, MO 64012",195000,2191262,Cass,Belton,Timbercreek,Single Family,Split Entry,3,3,0,1992,1295,Public Record,576,Public Record,0.168732782369146,Belton,1,Great Room,1,"Concrete, Finished, Walk Out",1,Wood Siding,Traditional,Composition,City Lot,0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"16417 Richmond Avenue Belton, MO 64012",195000,2188371,Cass,Belton,Richmond Park,Single Family,Split Entry,3,2,0,2006,1532,Public Record,0,Public Record,0.302433425160698,Belton,1,Family Room,1,"Daylight, Egress Window, Stubbed for Bath",1,Brick & Frame,"Contemporary, Traditional",Composition,"City Limits, Corner Lot",0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"900 Oakwood Harrisonville, MO 64701",195000,2186968,Cass,Harrisonville,Oakwood,Single Family,Ranch,3,2,0,2003,1544,Other,0,Other,0.409090909090909,Harrisonville,0,,1,"Concrete, Inside Entrance, Stubbed for Bath",1,Frame,Traditional,Composition,"City Lot, Level",0,1,1,Forced Air Gas,Central Electric,City/Public - Verify,City/Public,
"512 Fall Creek Drive Belton, MO 64012",195000,2178814,Cass,Belton,Autumn Ridge,Single Family,Split Entry,3,2,1,2007,1225,Public Record,591,Public Record,0.192837465564738,Belton,1,Great Room,1,Finished,1,"Brick Trim, Wood Siding",Traditional,Composition,"City Limits, City Lot",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"504 Belmont Drive Raymore, MO 64083",195000,2166057,Cass,Raymore,Canter Ridge,Single Family,Split Entry,3,2,0,1995,1109,Public Record,500,Public Record,0.200872359963269,Raymore-Peculiar,1,"Gas, Gas Starter, Great Room",1,"Daylight, Finished, Full",1,Vinyl Siding,Traditional,Composition,"City Lot, Level",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"1610 Stasi Drive Raymore, MO 64083",195000,2199468,Cass,Raymore,Foxhaven,Single Family,Split Entry,3,2,1,1996,1293,Public Record,527,Public Record,0.192837465564738,Raymore-Peculiar,1,"Family Room, Gas",1,"Concrete, Daylight, Finished",1,Board/Batten,Traditional,Composition,,0,0,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"302 W Mechanic Street Harrisonville, MO 64701",195000,2216066,Cass,Harrisonville,Org Town Of Harrisonville,Single Family,2 Stories,4,2,0,1900,2800,Owner,0,Owner,0.232690541781451,Harrisonville,1,"Gas, Living Room",1,"Full, Inside Entrance, Stone/Rock",1,Brick & Frame,"Victorian, Craftsman",Composition,"City Lot, Level",0,1,1,Central Gas,"Attic Fan, Central Electric",City/Public,City/Public,
"1603 Roberta Drive Raymore, MO 64083",195000,2201250,Cass,Raymore,Foxhaven,Single Family,Split Entry,4,2,1,1994,1148,RPR,528,RPR,0.192998163452709,Raymore-Peculiar,1,Great Room,1,"Finished, Walk Out",1,Frame,Traditional,Composition,Corner Lot,0,0,1,Central Electric,"Attic Fan, Central Electric",City/Public,City/Public,
"508 Gunnar Drive Belton, MO 64012",195000,2188031,Cass,Belton,Emerson Park,Single Family,Split Entry,4,3,0,2009,1271,Other,525,Other,0.214990817263545,Belton,1,,1,"Daylight, Finished, Full",1,Other,,Composition,,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"814 Coventry Lane Raymore, MO 64083",195000,2197163,Cass,Raymore,Brookside- The Villas of,Single Family,Ranch,3,2,0,2003,1459,Public Record,0,Agent,0.192837465564738,Raymore-Peculiar,1,"Heat Circulator, Gas, Living Room",0,Slab,1,"Frame, Vinyl Siding",Traditional,Composition,City Lot,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"106 Breezeway Lane Pleasant Hill, MO 64080",195000,2173019,Cass,Pleasant Hill,Sugarland Estates West,Single Family,Raised Ranch,3,2,1,1997,1322,Appraisal,650,Appraisal,0.34,Pleasant Hill,1,Living Room,1,"Finished, Partial",1,Frame,Traditional,Composition,,0,1,1,Central Electric,Central Electric,City/Public,City/Public,
"1601 Tyler Drive Raymore, MO 64083",195900,2212402,Cass,Raymore,Foxhaven,Single Family,Split Entry,3,2,1,1997,1135,Public Record,286,Public Record,0.228650137741047,Raymore-Peculiar,1,"Gas Starter, Great Room, Wood Burning",1,"Daylight, Egress Window, Finished",1,Frame,Traditional,Composition,"City Lot, Corner Lot, Level",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"15902 Allen Avenue Belton, MO 64012",196000,2169924,Cass,Belton,Dikewood Add,Single Family,Raised Ranch,4,3,0,1965,1300,Public Record,600,Public Record,0.459136822773186,Belton,0,,1,"Daylight, Finished",1,"Brick Trim, Vinyl Siding",Traditional,Composition,"City Lot, Level, Treed",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"3012 Younger Drive Harrisonville, MO 64701",196000,2187118,Cass,Harrisonville,East Elm Estates,Single Family,Ranch,3,2,1,1987,1409,Public Record,0,Agent,0.406106519742883,Harrisonville,0,,1,"Full, Walk Out",1,"Lap, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot",0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"21912 Gracie Drive Peculiar, MO 64078",196000,2184448,Cass,Peculiar,Quail Run,Single Family,Split Entry,3,2,1,2004,1270,Owner,430,Owner,0.253673094582185,Raymore-Peculiar,1,Great Room,1,"Finished, Walk Out",1,"Frame, Wood Siding",Traditional,Composition,City Lot,0,0,1,Heat Pump,Central Electric,City/Public,City/Public,
"303 Monroe Avenue Belton, MO 64012",196000,2182634,Cass,Belton,Valley High,Single Family,Split Entry,3,2,0,1986,1396,Public Record,500,Owner,0.200872359963269,Belton,1,Living Room,1,"Daylight, Finished, Garage Entrance",1,"Board/Batten, Brick Trim",Traditional,Composition,City Lot,0,0,1,Central Gas,"Attic Fan, Central Electric",City/Public,City/Public,
"11811 E 214th Street Peculiar, MO 64078",196000,2183626,Cass,Peculiar,Twin Oaks,Single Family,Split Entry,4,2,1,2002,1308,Public Record,552,Public Record,0.211202938475666,Raymore-Peculiar,1,"Gas, Great Room",1,"Finished, Walk Out",1,Wood Siding,Traditional,Composition,"Corner Lot, Level",0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"114 E Remington Terrace Raymore, MO 64083",196000,2164716,Cass,Raymore,Cumberland Hills,Single Family,Split Entry,3,2,1,1995,1122,RPR,290,Owner,0.198347107438017,Raymore-Peculiar,1,,1,Concrete,1,"Frame, Wood Siding",,Composition,,0,0,1,Central Electric,Central Electric,City/Public,City/Public,
"213 E Foxwood Drive Raymore, MO 64083",196900,2201452,Cass,Raymore,Cumberland Hills South,Single Family,Raised Ranch,3,2,1,1999,1186,Public Record,250,Other,0.216942148760331,Raymore-Peculiar,1,"Gas, Living Room",1,"Finished, Inside Entrance",1,"Frame, Vinyl Siding",Traditional,Composition,"Adjoin Greenspace, City Lot",0,1,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,
"1604 Shelby Drive Raymore, MO 64083",197000,2208350,Cass,Raymore,Foxhaven,Single Family,Raised Ranch,3,2,0,1998,1500,Public Record,0,Public Record,0.206611570247934,Raymore-Peculiar,1,"Dining Room, Gas, Living Room",1,Concrete,1,"Brick Trim, Lap",Traditional,Composition,"City Lot, Level",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"304 W Mechanic Street Harrisonville, MO 64701",197000,2181604,Cass,Harrisonville,Org Town Of Harrisonville,Single Family,2 Stories,4,2,1,1930,3032,Public Record,0,Public Record,0.315794306703398,Harrisonville,1,"Great Room, Study/Library",1,"Inside Entrance, Stone/Rock, Walk Up",1,"Frame, Vinyl Siding",Victorian,Composition,"City Lot, Estate Lot, Treed",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"24219 S Treasure Road Peculiar, MO 64078",197000,2195578,Cass,Peculiar,Peculiar,Single Family,Ranch,4,2,0,1930,1700,Public Record,0,Public Record,2,Harrisonville,0,,1,Concrete,1,Wood Siding,,Composition,,0,0,1,Propane Gas,Central Electric,City/Public,Septic,
"707 Oakwood Street Harrisonville, MO 64701",197000,2193682,Cass,Harrisonville,Oakwood,Single Family,Ranch,3,2,0,2000,1350,Public Record,795,Agent,0.222222222222222,Harrisonville,0,,1,"Finished, Full, Inside Entrance",1,Frame,Traditional,Composition,"City Limits, City Lot, Level",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"15911 Ryan Drive Belton, MO 64012",197000,2210711,Cass,Belton,Georgia Place,Single Family,Split Entry,3,2,1,1997,1338,Owner,196,Owner,0.229568411386593,Belton,1,Living Room,1,"Concrete, Finished, Full",1,Board/Batten,Traditional,Composition,,0,0,1,Central Electric,Central Electric,City/Public,City/Public,
"16210 Spring Valley Road Belton, MO 64012",197175,2176835,Cass,Belton,Georgia Place,Single Family,2 Stories,4,2,1,1990,1437,Public Record,0,Public Record,0.264003673094582,Belton,1,"Living Room, Masonry, Wood Burning",1,"Concrete, Not Finished",1,"Lap, Wood Siding",Traditional,Composition,"City Lot, Corner Lot, Level",0,0,1,Heatpump/Gas,"Attic Fan, Central Electric",City/Public,City/Public,
"109 W 182nd Street Belton, MO 64012",197500,2205033,Cass,Belton,Cambridge Estates,Single Family,Split Entry,3,2,1,2003,1274,Public Record,1274,Public Record,0.256,Belton,1,Living Room,1,Finished,1,Frame,Traditional,Composition,,0,0,1,Forced Air Gas,Central Electric,City/Public - Verify,City/Public,
"604 Cedar Drive Raymore, MO 64083",197830,2170889,Cass,Raymore,Park Place,Single Family,1.5 Stories,3,3,1,1991,3876,Public Record,0,Other,0.31129476584022,Raymore-Peculiar,1,Great Room,1,Concrete,1,Board/Batten,Traditional,Composition,"Level, Treed",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"25425 S State Route K Highway Harrisonville, MO 64701",198000,2214140,Cass,Harrisonville,Other,Single Family,Ranch,4,2,0,1954,1504,Public Record,0,Public Record,1,East Lynne,1,"Gas, Living Room",1,Block,0,Frame,Traditional,Composition,Acreage,0,1,1,Forced Air Gas,Central Electric,City/Public,Septic,
"16001 Slater Avenue Belton, MO 64012",198000,2170505,Cass,Belton,Martinwood,Single Family,Split Entry,3,2,0,1994,1280,Public Record,0,Other,0.444788797061524,Belton,1,"Gas, Living Room",1,"Concrete, Not Finished, Partial",1,"Frame, Lap",Traditional,Composition,"City Limits, City Lot",0,1,1,Central Gas,"Attic Fan, Central Electric",City/Public,City/Public,
"1512 Broadway Street Pleasant Hill, MO 64080",198000,2191608,Cass,Pleasant Hill,Other,Single Family,Raised Ranch,3,2,0,1998,1174,Public Record,100,Public Record,0.51,Pleasant Hill,1,Living Room,1,"Concrete, Finished, Garage Entrance",1,Board/Batten,Traditional,Composition,"Adjoin Greenspace, Level",0,1,1,Heat Pump,Heat Pump,City/Public,City/Public,
"900 Falcon Drive Harrisonville, MO 64701",198000,2185902,Cass,Harrisonville,Thunderbird Estates,Single Family,Raised Ranch,4,2,1,1972,1318,Public Record,702,Public Record,0.3772,Harrisonville,1,Family Room,1,Finished,1,Frame,Traditional,Composition,Treed,0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"1012 Seminole Court Raymore, MO 64083",198000,2208636,Cass,Raymore,Brookside- The Villas of,Single Family,Ranch,3,2,0,2005,1392,Other,0,Other,0.208333333333333,Raymore-Peculiar,1,,0,,1,Board/Batten,,Composition,,0,0,1,Central Electric,Central Electric,City/Public - Verify,City/Public,
"500 Oakwood Street Harrisonville, MO 64701",198000,2177233,Cass,Harrisonville,Oakwood,Single Family,Ranch,3,3,0,1997,1239,Public Record,765,Agent,0.194444444444444,Harrisonville,0,,1,"Finished, Full, Inside Entrance",1,"Frame, Wood Siding",Traditional,Composition,City Lot,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"804 Coachman Drive Pleasant Hill, MO 64080",198500,2180209,Cass,Pleasant Hill,Wild Wood,Single Family,Split Entry,3,2,0,2005,1571,Public Record,0,Public Record,0.203741965105601,Pleasant Hill,1,Family Room,1,"Daylight, Not Finished",1,Frame,Traditional,Composition,City Lot,0,0,1,Natural Gas,Central Electric,City/Public,City/Public,
"304 Lacy Court Belton, MO 64012",198900,2198872,Cass,Belton,Mill Street Place,Single Family,Raised Ranch,3,2,1,2005,1274,Public Record,768,Public Record,0.347,Belton,1,"Gas Starter, Living Room",1,"Finished, Walk Out",1,"Frame, Wood Siding",Traditional,Composition,"Cul-De-Sac, Level, Treed",0,1,1,"Central Electric, Heat Pump",Central Electric,City/Public,City/Public,
"16612 Hardee Street Belton, MO 64012",199000,2226571,Cass,Belton,Bel Ray,Single Family,Split Entry,3,2,0,1977,1476,RPR,507,RPR,0.539990817263545,Belton,1,Family Room,1,"Daylight, Finished",1,Board/Batten,Traditional,Composition,City Lot,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"128 S Darrowby Drive Raymore, MO 64083",199000,2174166,Cass,Raymore,Foxhaven,Single Family,Split Entry,3,2,1,1997,1324,RPR,600,RPR,0.192837465564738,Raymore-Peculiar,1,Living Room,1,Finished,1,Wood Siding,Traditional,Composition,"Adjoin Greenspace, City Lot",0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"1204 E Mechanic Street Harrisonville, MO 64701",199000,2186272,Cass,Harrisonville,Other,Single Family,Ranch,3,3,0,1961,1610,Public Record,661,Public Record,0.58,Harrisonville,1,Family Room,1,"Finished, Garage Entrance, Inside Entrance",1,"Frame, Shingle/Shake",,Composition,City Limits,0,1,1,Central Electric,"Attic Fan, Central Electric",City/Public,City/Public,
"406 Crystal Court Belton, MO 64012",199000,2179517,Cass,Belton,Berkshire Estates,Single Family,Split Entry,4,3,0,2002,1420,Public Record,866,Public Record,0.236914600550964,Belton,1,"Gas, Great Room",1,"Daylight, Finished, Inside Entrance",1,"Lap, Wood Siding",Traditional,Concrete,"City Limits, City Lot, Cul-De-Sac, Treed",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"206 S Price Avenue Harrisonville, MO 64701",199000,2171855,Cass,Harrisonville,Other,Single Family,Raised Ranch,3,3,0,1957,1968,Public Record,624,Owner,0.45959595959596,Harrisonville,1,"Basement, Living Room",1,"Finished, Garage Entrance, Walk Out",1,Brick & Frame,,Composition,,0,1,1,Natural Gas,Central Electric,City/Public,City/Public,
"602 Emerson Drive Belton, MO 64012",199900,2201340,Cass,Belton,Emerson Park,Single Family,Split Entry,4,3,0,2020,1400,Builder,526,Builder,0.225,Belton,1,"Gas, Great Room",1,"Concrete, Finished",1,"Frame, Lap",Traditional,Composition,"City Lot, Level",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"411 Blue Grass Drive Raymore, MO 64083",199900,2210814,Cass,Raymore,Canter Ridge,Single Family,Split Entry,3,2,1,1992,1271,Agent,454,Agent,0.200872359963269,Raymore-Peculiar,1,"Family Room, Gas Starter, Living Room, Wood Burning",1,Finished,1,Metal Siding,Traditional,Composition,City Lot,0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"38600 E 171st Street Pleasant Hill, MO 64080",199900,2210786,Cass,Pleasant Hill,Other,Single Family,Ranch,2,1,0,1945,1271,Public Record,0,Public Record,3.06999540863177,Lone Jack,0,,0,Slab,1,Frame,Traditional,Composition,"Acreage, Treed",0,-1,1,Propane Gas,Central Electric,City/Public,Septic,
"705 Hollis Avenue Belton, MO 64012",199900,2196506,Cass,Belton,Emerson Park,Single Family,Split Entry,4,3,0,2020,1400,Builder,526,Builder,0.290840220385675,Belton,1,"Gas, Great Room",1,"Concrete, Finished",1,"Frame, Lap",Traditional,Composition,"City Lot, Level",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"511 Chase Lane Belton, MO 64012",199900,2191371,Cass,Belton,Emerson Park,Single Family,Split Entry,4,3,0,2020,1400,Builder,526,Builder,0.345477502295684,Belton,1,"Gas, Great Room",1,"Concrete, Finished",1,"Frame, Lap",Traditional,Composition,"City Lot, Corner Lot, Level",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"603 Gunnar Drive Belton, MO 64012",199900,2191365,Cass,Belton,Emerson Park,Single Family,Split Entry,4,3,0,2020,1402,Plans,524,Plans,0.237190082644628,Belton,1,"Gas, Great Room",1,"Concrete, Finished",1,"Frame, Lap",Traditional,Composition,"City Lot, Level",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"513 Bud Lane Belton, MO 64012",199900,2191354,Cass,Belton,Emerson Park,Single Family,Split Entry,4,3,0,2020,1400,Builder,526,Builder,0.221763085399449,Belton,1,"Gas, Great Room",1,"Concrete, Finished",1,"Frame, Lap",Traditional,Composition,"City Lot, Level",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"511 Bud Lane Belton, MO 64012",199900,2191349,Cass,Belton,Emerson Park,Single Family,Split Entry,4,3,0,2020,1400,Builder,526,Builder,0.228099173553719,Belton,1,"Gas, Great Room",1,"Concrete, Finished",1,"Frame, Lap",Traditional,Composition,"City Lot, Level",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"305 S Huntsman Boulevard Raymore, MO 64083",199900,2190469,Cass,Raymore,Foxhaven,Single Family,Split Entry,3,2,1,2000,1223,RPR,450,Agent,0.256198347107438,Raymore-Peculiar,1,"Gas, Living Room",0,"Finished, Full",1,Frame,Traditional,Composition,,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"2300 Meadowlark Drive Harrisonville, MO 64701",199900,2187319,Cass,Harrisonville,Ridgeview Addition,Single Family,Ranch,3,2,1,1970,1480,Public Record,196,Agent,0.328282828282828,Harrisonville,1,"Family Room, Gas Starter, Wood Burning",1,"Concrete, Partial, Stubbed for Bath",1,"Brick & Frame, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot, Level, Treed",0,0,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,
"410 Heritage Drive Raymore, MO 64083",199900,2161792,Cass,Raymore,Madison Valley,Single Family,Split Entry,4,3,0,2019,1402,Plans,524,Plans,0.163774104683196,Raymore-Peculiar,1,"Gas, Great Room",1,"Finished, Full, Walk Out",1,Frame,Traditional,Composition,City Lot,0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"418 Sunflower Drive Raymore, MO 64083",199900,2161078,Cass,Raymore,Madison Valley,Single Family,Split Entry,4,3,0,2019,1402,Plans,524,Plans,0.243342516069789,Raymore-Peculiar,1,"Gas, Great Room",1,"Concrete, Finished, Full",1,Frame,Traditional,Composition,City Lot,0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"616 Buffalo Drive Raymore, MO 64083",199900,2161071,Cass,Raymore,Madison Valley,Single Family,Split Entry,4,3,0,2019,1402,Plans,524,Plans,0.484182736455464,Raymore-Peculiar,1,"Gas, Great Room",1,"Concrete, Finished, Full",1,Frame,Traditional,Composition,City Lot,0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"514 Chase Lane Belton, MO 64012",199900,2200773,Cass,Belton,Emerson Park,Single Family,Split Entry,4,3,0,2020,1400,Builder,526,Builder,0.224563820018365,Belton,1,"Gas, Great Room",1,"Concrete, Finished",1,"Frame, Lap",Traditional,Composition,"City Lot, Level",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"724 Bristol Drive Raymore, MO 64083",199950,2185950,Cass,Raymore,Brookside,Single Family,Ranch,3,2,0,2004,1718,Public Record,0,Other,0.3,Raymore-Peculiar,0,,0,,1,Vinyl Siding,Traditional,Composition,,0,0,1,Central Electric,Central Electric,City/Public,City/Public,
"1406 Carrol Drive Pleasant Hill, MO 64080",200000,2218527,Cass,Pleasant Hill,Knorpps Add To Sunnyside,Single Family,Raised Ranch,4,3,0,1970,1288,Public Record,400,Public Record,0.276216712580349,Pleasant Hill,0,,1,"Finished, Walk Out",1,Brick & Frame,Traditional,Composition,"City Limits, City Lot, Corner Lot",0,1,1,Natural Gas,Central Electric,City/Public,City/Public,
"102 Hawthorne Drive Belton, MO 64012",200000,2216391,Cass,Belton,Deer Park,Single Family,2 Stories,4,3,1,1962,2646,Public Record,560,Agent,0.304178145087236,Belton,1,"Living Room, Masonry, Wood Burning",1,"Finished, Full, Walk Up",1,"Brick & Frame, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"623 Laredo Place Raymore, MO 64083",200000,2186393,Cass,Raymore,Cumberland Hills,Single Family,Split Entry,4,3,0,1995,1391,Public Record,893,Public Record,0.206588613406795,Raymore-Peculiar,1,"Family Room, Wood Burning",1,"Concrete, Finished, Walk Out",1,Frame,Traditional,Composition,"City Lot, Cul-De-Sac, Treed",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"20708 E 241st Street Harrisonville, MO 64701",200000,2180926,Cass,Harrisonville,Taylors Add,Single Family,Ranch,3,2,0,1973,1248,Public Record,0,Owner,4.5,Harrisonville,1,Living Room,1,"Concrete, Full",1,"Brick Trim, Frame",Traditional,Composition,"Acreage, Treed, Wooded",0,-1,1,Propane Gas,Central Electric,City/Public,Septic,
"1303 Wright Street Pleasant Hill, MO 64080",200000,2180048,Cass,Pleasant Hill,Carliles Add,Single Family,Split Entry,3,2,1,2007,1180,Public Record,528,Public Record,0.206611570247934,Pleasant Hill,0,,1,"Daylight, Egress Window, Finished",1,Wood Siding,Traditional,Composition,"City Lot, Level, Treed",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"705 Berkshire Drive Belton, MO 64012",200000,2174502,Cass,Belton,Berkshire Estates,Single Family,Ranch,4,3,0,2000,1339,Public Record,400,Agent,0.331795224977043,Belton,1,"Basement, Family Room, Gas, Great Room, Kitchen, Master Bedroom",1,"Full, Inside Entrance, Partial",1,Frame,Traditional,Composition,City Lot,0,1,1,"Central Gas, Forced Air Gas",Central Electric,City/Public,City/Public,
"15714 Hinkle Avenue Belton, MO 64012",200000,2192701,Cass,Belton,Hardee Meadows,Single Family,Split Entry,3,3,0,2004,1691,Public Record,0,Public Record,0.256657483930211,Belton,1,"Heat Circulator, Gas, Living Room, Zero Clearance",1,"Finished, Walk Out",1,"Board/Batten, Stone Trim",Traditional,Composition,"City Limits, City Lot, Treed",0,1,1,"Forced Air Gas, Heatpump/Gas","Central Electric, Heat Pump",City/Public,City/Public,
"22212 S Fawn Drive Peculiar, MO 64078",200000,2183539,Cass,Peculiar,Deer Run Estates,Single Family,Raised Ranch,4,3,0,1972,1372,Public Record,1007,Agent,3,Raymore-Peculiar,1,Living Room,1,"Finished, Walk Out",1,"Brick Trim, Wood Siding",,Composition,"Acreage, Pond(s), Treed",0,0,1,Forced Air Gas,Central Electric,City/Public,Septic,
"1403 S Edgevale Drive Harrisonville, MO 64701",200000,2220910,Cass,Harrisonville,Village South,Single Family,Ranch,3,2,1,1966,1690,Public Record,0,Public Record,0.34435261707989,Harrisonville,1,"Family Room, Masonry, Wood Burning",1,"Concrete, Full",1,"Board/Batten, Frame",Traditional,Composition,City Limits,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"112 S Darrowby Drive Raymore, MO 64083",200000,2211045,Cass,Raymore,Foxhaven,Single Family,Split Entry,3,3,0,1997,1138,Public Record,0,Other,0.2089072543618,Raymore-Peculiar,1,"Gas, Great Room",1,"Concrete, Daylight, Finished",1,Lap,Traditional,Composition,"City Lot, Treed",0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"1609 Cody Drive Raymore, MO 64083",200000,2209290,Cass,Raymore,Foxhaven,Single Family,Raised Ranch,3,3,0,1998,1402,Public Record,256,Public Record,0.209366391184573,Raymore-Peculiar,1,"Gas, Gas Starter, Great Room",1,"Finished, Inside Entrance, Walk Out",1,Frame,Traditional,Composition,City Lot,0,1,1,"Central Gas, Natural Gas",Central Electric,City/Public,City/Public,
"507 Belmont Drive Raymore, MO 64083",200000,2207425,Cass,Raymore,Canter Ridge,Single Family,Raised Ranch,3,2,0,1991,1248,Public Record,576,Public Record,0.192837465564738,Raymore-Peculiar,1,,1,Concrete,1,Vinyl Siding,,Composition,,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"30300 E State Route B Highway Garden City, MO 64747",200000,2194098,Cass,Garden City,Other,Single Family,1.5 Stories,2,2,1,1925,884,Public Record,0,Public Record,5,Archie,1,,1,"Concrete, Inside Entrance",0,Frame,,Composition,"Acreage, Pond(s)",0,0,1,Propane Gas,Central Electric,Rural,Septic,
"116 W 2nd Street Garden City, MO 64747",200000,2190718,Cass,Garden City,Gross Add,Single Family,Ranch,3,2,0,1998,1350,Appraisal,0,Public Record,0.312213039485767,Sherwood,0,,0,,1,Wood Siding,Traditional,Composition,Corner Lot,0,0,1,Central Electric,Central Electric,City/Public,City/Public,
"13606 E 217th Terrace Peculiar, MO 64078",200000,2163194,Cass,Peculiar,Countryside Acres,Single Family,1.5 Stories,4,2,0,1983,2331,Public Record,0,Public Record,1.85,Raymore-Peculiar,1,Family Room,0,,1,Other,Traditional,Composition,"Acreage, Treed",0,1,1,Forced Air Gas,Central Electric,City/Public,Septic,
